lncRNA,Disease,PubMed ID
HOTAIR,"Carcinoma, Non-Small-Cell Lung",30720199
HOTAIR,"Carcinoma, Non-Small-Cell Lung",35176085
HOTAIR,Colorectal Neoplasms,29808247
HOTAIR,Colorectal Neoplasms,30362162
HOTAIR,Colorectal Neoplasms,33588137
HOTAIR,Colorectal Neoplasms,34470574
HOTAIR,Colorectal Neoplasms,29680837
HOTAIR,Colonic Neoplasms,31298326
HOTAIR,Colonic Neoplasms,30335892
HOTAIR,"Thyroid Cancer, Papillary",33107391
HOTAIR,"Carcinoma, Renal Cell",33502949
HOTAIR,"Carcinoma, Renal Cell",33157157
HOTAIR,Osteoarthritis,32650720
HOTAIR,Osteoarthritis,33721916
HOTAIR,Osteoarthritis,34183035
HOTAIR,"Carcinoma, Hepatocellular",30195653
HOTAIR,"Carcinoma, Hepatocellular",31933720
HOTAIR,"Carcinoma, Hepatocellular",33843021
HOTAIR,Squamous Cell Carcinoma of Head and Neck,31995261
HOTAIR,pancreatic adenocarcinoma,31452722
HOTAIR,"Carcinoma, Non-Small-Cell Lung",33102210
HOTAIR,Breast Neoplasms,35649067
HOTAIR,Breast Neoplasms,35619625
HOTAIRM1,"Thyroid Cancer, Papillary",32269214
HOTAIRM1,Adenocarcinoma of Lung,32606933
HOTAIRM1,Prostatic Neoplasms,33368390
HOTAIRM1,"Thyroid Carcinoma, Anaplastic",32951513
HOTAIRM1,Endometrial Neoplasms,31853186
HOTAIRM1,Liver Neoplasms,32964965
HOTAIR,Stomach Neoplasms,31391030
HOTAIR,Stomach Neoplasms,30557546
HOTAIR,Stomach Neoplasms,30635945
HOTAIR,Stomach Neoplasms,31517442
HOTAIR,Stomach Neoplasms,31281803
HOTAIR,Stomach Neoplasms,33473276
HOTAIR,Stomach Neoplasms,32951010
HOTAIR,Stomach Neoplasms,32583079
HOTAIR,Breast Neoplasms,32694942
HOTAIR,Breast Neoplasms,33104019
HOXA11-AS,Skin Neoplasms,33442511
HOXA11-AS,Keloid,35987744
HOXA11-AS,Keloid,33261854
HOXB-AS3,"Carcinoma, Hepatocellular",30402841
HOXB-AS3,Squamous Cell Carcinoma of Head and Neck,34457052
HOXB-AS3,Endometrial Neoplasms,34187214
HOXB-AS1,"Carcinoma, Hepatocellular",36045719
HOXB-AS1,Endometrial Neoplasms,33073693
HOXB-AS1,Multiple Myeloma,31886581
HOXB13,Glioblastoma,31062400
HOXA-AS3,Stomach Neoplasms,33602223
HOXA-AS3,Colorectal Neoplasms,34671931
HOXA-AS3,"Carcinoma, Hepatocellular",30963785
HOXA-AS3,"Carcinoma, Hepatocellular",34988230
HOXA-AS3,Squamous Cell Carcinoma of Head and Neck,34698001
HOXA-AS3,Uterine Cervical Neoplasms,35817473
HOXA-AS3,Glioblastoma,32918360
HOXA-AS3,Pancreatic Neoplasms,34659534
HOXA-AS2,"Carcinoma, Non-Small-Cell Lung",31389597
HOXA-AS2,"Carcinoma, Non-Small-Cell Lung",31210310
HOXA-AS2,Urinary Bladder Neoplasms,30412716
HOXA-AS2,Squamous Cell Carcinoma of Head and Neck,34267554
HOXA-AS2,Squamous Cell Carcinoma of Head and Neck,34519570
HOXB-AS3,Ovarian Neoplasms,33148416
HOXB-AS3,"Carcinoma, Ovarian Epithelial",33148416
HOXB-AS3,Lung Neoplasms,32039488
HOXD-AS2,Glioma,30485495
HOXD-AS2,Glioma,36408341
HOXD-AS2,Glioblastoma,34802389
HOXC-AS3,Breast Neoplasms,31797701
HOXC-AS3,Breast Neoplasms,33194034
HOXC-AS3,"Carcinoma, Non-Small-Cell Lung",35034519
HOXC-AS3,Ovarian Neoplasms,33651311
HOXC-AS3,"Carcinoma, Non-Small-Cell Lung",35387975
HOXC-AS2,"Carcinoma, Non-Small-Cell Lung",33427025
HOXC-AS2,Glioma,31571911
HOXC-AS1,Stomach Neoplasms,32307743
HOXC-AS1,Stomach Neoplasms,35884594
HOXC-AS1,Esophageal Squamous Cell Carcinoma,36510377
HOXC-AS1,Nasopharyngeal carcinoma,34507637
HOXC13-AS-201,Ameloblastoma,32110049
HOXC13-AS,Breast Neoplasms,31066051
HOXC13-AS,Squamous Cell Carcinoma of Head and Neck,32763778
HOXA-AS2,Squamous Cell Carcinoma of Head and Neck,36528556
HOXA-AS2,Osteosarcoma,30081707
HOXA-AS2,Osteosarcoma,31853184
HOXA-AS2,Parkinson Disease,34511122
HOXA11-AS,"Carcinoma, Hepatocellular",32901858
HOXA11-AS,Ovarian Neoplasms,35706412
HOXA11-AS,Squamous Cell Carcinoma of Head and Neck,31731187
HOXA11-AS,Squamous Cell Carcinoma of Head and Neck,31139017
HOXA11-AS,Osteosarcoma,31191012
HOXA11-AS,Glioma,30064227
HOXA11-AS,Glioma,31737190
HOXA11-AS,Glioma,30657566
HOXA11-AS,Glioma,34117619
HOXA11-AS,Glioma,36351895
HOXA11-AS,Adenocarcinoma of Lung,35924724
HOXA11-AS,Adenocarcinoma of Lung,35368660
HOXA11-AS,Prostatic Neoplasms,31971633
HOXA11-AS,Prostatic Neoplasms,33514011
HOXA11-AS,Prostatic Neoplasms,34337714
HOXA11-AS,skin melanoma,33564267
HOXA11-AS,Demyelinating Diseases,31878829
HOXA11-AS,Squamous Cell Carcinoma of Head and Neck,31987067
HOXA11-AS,Squamous Cell Carcinoma of Head and Neck,35903338
HOXA11-AS,"Carcinoma, Hepatocellular",31493246
HOXA11-AS,"Carcinoma, Non-Small-Cell Lung",34050851
HOXA11-AS,"Carcinoma, Non-Small-Cell Lung",31908486
HOXA-AS2,"Thyroid Cancer, Papillary",30375256
HOXA-AS2,"Leukemia, Myeloid, Acute",33268767
HOXA-AS2,"Leukemia, Myeloid, Acute",32369230
HOXA-AS2,Uterine Cervical Neoplasms,34240204
HOXA-AS2,Uterine Cervical Neoplasms,34076871
HOXA-AS2,Glioma,31819475
HOXA-AS2,Glioma,35181676
HOXA-AS2,Glioma,35563134
HOXA-AS2,Nasopharyngeal carcinoma,32973958
HOXA-AS2,Gallbladder Neoplasms,36299503
HOXA11-AS,Breast Neoplasms,35106863
HOXA-AS2,Prostatic Neoplasms,32519740
HOXA-AS2,Prostatic Neoplasms,36404720
HOXA-AS2,Hepatoblastoma,33683826
HOXA-AS2,"Aortic Aneurysm, Thoracic",35730141
HOXA5,Colonic Neoplasms,31159758
HOXA11-AS,Stomach Neoplasms,31235999
HOXA11-AS,Stomach Neoplasms,32368140
HOXA11-AS,Stomach Neoplasms,34715856
HOTAIR,Squamous Cell Carcinoma of Head and Neck,31297902
HOTAIR,Parkinson Disease,35398161
HCP5,Stomach Neoplasms,33613117
HCP5,"Carcinoma, Non-Small-Cell Lung",32104093
HCP5,Esophageal Squamous Cell Carcinoma,34190001
HCP5,Colorectal Neoplasms,30899394
HCP5,Colorectal Neoplasms,32606965
HCP5,"Carcinoma, Renal Cell",33380840
HCP5,"Carcinoma, Hepatocellular",34148029
HCP5,Ovarian Neoplasms,32511950
HCP5,Urinary Bladder Neoplasms,33235469
HCP5,Squamous Cell Carcinoma of Head and Neck,31849534
HCP5,Osteosarcoma,33439936
HCP5,Osteosarcoma,35899856
HCP5,Uterine Cervical Neoplasms,35399723
HCP5,Glioma,35769676
HCP5,Nasopharyngeal carcinoma,35602292
HCP5,Multiple Myeloma,34331612
HCP5,Pancreatic Neoplasms,32407143
HCP5,Adenocarcinoma of Lung,31131047
HCP5,Triple Negative Breast Neoplasms,31215169
HCP5,Squamous Cell Carcinoma of Head and Neck,36248798
HCP5,Stomach Neoplasms,33505109
HCP5,Stomach Neoplasms,33371778
HCP5,"Carcinoma, Renal Cell",32271414
HHIP-AS1,"Carcinoma, Non-Small-Cell Lung",36374812
HGBC,Gallbladder Neoplasms,31752906
HERH-4,"Carcinoma, Hepatocellular",34445994
HERH-1,"Carcinoma, Hepatocellular",34445994
HEIH,Stomach Neoplasms,33015781
HEIH,Stomach Neoplasms,33877891
HEIH,Breast Neoplasms,31526439
HEIH,Breast Neoplasms,32945377
HEIH,"Carcinoma, Non-Small-Cell Lung",30230600
HEIH,Esophageal Squamous Cell Carcinoma,32449803
HEIH,Ovarian Neoplasms,33110047
HEIH,Triple Negative Breast Neoplasms,31456112
HEIH,Triple Negative Breast Neoplasms,33368266
HEIH,esophageal carcinoma,33223519
HEIH,Cholangiocarcinoma,32062383
HEIH,Retinoblastoma,33262604
HEIH,stomach carcinoma,33226411
HDAC1,Multiple Myeloma,34738621
HCP5,Prostatic Neoplasms,31746434
HCP5,"Thyroid Carcinoma, Anaplastic",31102936
HOTAIR,"Leukemia, Myeloid, Acute",31168296
HCG18,"Carcinoma, Renal Cell",33732021
HCG18,Squamous Cell Carcinoma of Head and Neck,34878161
HCG18,Osteosarcoma,34041718
HCG15,"Carcinoma, Hepatocellular",35427894
HCG15,Myocardial Reperfusion Injury,34707098
HCG11,Stomach Neoplasms,31889902
HCG11,Stomach Neoplasms,34054958
HCG11,"Carcinoma, Non-Small-Cell Lung",32844573
HCG11,"Carcinoma, Non-Small-Cell Lung",34080031
HCG11,"Carcinoma, Hepatocellular",31858580
HCG11,Ovarian Neoplasms,33215418
HCG11,Ovarian Neoplasms,35016264
HCG11,Squamous Cell Carcinoma of Head and Neck,33151000
HCG11,Osteosarcoma,34518440
HCG11,Osteosarcoma,34949159
HCG11,Uterine Cervical Neoplasms,32794340
HCG11,Glioma,31310044
HCG11,Glioma,35279660
HCG11,Glioma,35818213
HCG18,Melanoma,35273726
HCG18,Prostatic Neoplasms,34708395
HCP5,"Rhinitis, Allergic",35122570
HCG18,Nasopharyngeal carcinoma,31841193
HCP5,stomach carcinoma,32357145
HCP5,Neuroblastoma,33189302
HCP5,Skin Neoplasms,34195851
HCP5,skin melanoma,31496735
HCG22,Squamous Cell Carcinoma of Head and Neck,34859625
HCG22,Squamous Cell Carcinoma of Head and Neck,33649984
HCG22,Squamous Cell Carcinoma of Head and Neck,35222723
HCG18,Stomach Neoplasms,33090399
HCG18,Stomach Neoplasms,32801777
HCG18,Stomach Neoplasms,32725768
HCG18,Stomach Neoplasms,35240920
HCG18,Stomach Neoplasms,34618022
HCG18,Breast Neoplasms,34976998
HCG18,Colorectal Neoplasms,31854468
HCG18,"Carcinoma, Hepatocellular",32663252
HCG18,Ovarian Neoplasms,34983361
HCG18,Squamous Cell Carcinoma of Head and Neck,35389764
HCG18,Osteosarcoma,36401685
HHIP-AS1,"Carcinoma, Hepatocellular",31604528
HHIP‑AS1,Lung Neoplasms,34643245
HIF1A-AS2,Small Cell Lung Carcinoma,34378101
HOTAIR,Skin Neoplasms,31649487
HOTAIR,Pre-Eclampsia,32320706
HOTAIR,Psoriasis,33747185
HOTAIR,Diabetic Retinopathy,33724292
HOTAIR,"Sarcoma, Synovial",33868482
HOTAIR,Uterine Cervical Neoplasms,34320988
HOMER3-AS1,"Carcinoma, Hepatocellular",34815380
HOMER1,Alzheimer Disease,34502114
HNSCAT1,Squamous Cell Carcinoma of Head and Neck,35965679
HNRNPU,Uterine Cervical Neoplasms,34309414
HNF1A-AS1,Breast Neoplasms,32319789
HOTAIR,Skin Neoplasms,34697449
HOTAIR,Non-alcoholic Fatty Liver Disease,34774989
HIF1A-AS2,"Carcinoma, Renal Cell",33710813
HOTAIR,"Pulmonary Disease, Chronic Obstructive",36527094
HOTAIR,pancreatic ductal adenocarcinoma,33737813
HOTAIR,Uterine Cervical Neoplasms,32864005
HOTAIR,Nasopharyngeal carcinoma,33965547
HOTAIR,Glioblastoma,34246782
HOTAIR,Glioblastoma,35292358
HOTAIR,Thyroid Neoplasms,31607138
HOTAIR,"Thyroid Cancer, Papillary",36494673
HOTAIR,Medulloblastoma,31986414
HOTAIR,"Carcinoma, Non-Small-Cell Lung",34777731
HOTAIR,Cholangiocarcinoma,30111807
HOTAIR,Cholangiocarcinoma,32755793
HOTAIR,Squamous Cell Carcinoma of Head and Neck,31171714
HOTAIR,Thyroid Neoplasms,34195365
HOTAIR,Retinoblastoma,35248107
HOTAIR,Liver Neoplasms,29849802
HOTAIR,Esophageal Neoplasms,31389660
HOTAIR,Diabetic Nephropathies,35193668
HOTAIR,Endometriosis,36338672
HOTAIR,"Arthritis, Rheumatoid",36164683
HNF1A-AS1,Colorectal Neoplasms,32110048
HNF1A-AS1,Colonic Neoplasms,32325080
HNF1A-AS1,Squamous Cell Carcinoma of Head and Neck,30404566
HNF1A-AS1,Osteosarcoma,32706998
HIPK3,Acute Kidney Injury,35148669
HIF2PUT,"Carcinoma, Non-Small-Cell Lung",34287062
HIF2PUT,Osteosarcoma,30966832
HIF1A-AS2,Stomach Neoplasms,33555514
HIF1A-AS2,"Carcinoma, Non-Small-Cell Lung",32922043
HIF1A-AS2,"Carcinoma, Ovarian Epithelial",30588022
HIF1A-AS2,Osteosarcoma,31626739
HIF1A-AS2,Osteosarcoma,31866584
HIF1A-AS2,Uterine Cervical Neoplasms,35728704
HIF1A-AS2,Triple Negative Breast Neoplasms,30635931
HIF1A-AS2,Adenocarcinoma of Lung,34703647
HIF1A-AS2,"Carcinoma, Renal Cell",33061459
HIST1H2AG-6,"Diabetes Mellitus, Type 2",34092238
HMMR-AS1,"Carcinoma, Hepatocellular",35179300
HNF1A-AS1,Esophageal Neoplasms,35188404
HNF1A-AS1,Glioma,33448691
HNF1A-AS1,Glioblastoma,34772911
HNF1A-AS1,"Carcinoma, Non-Small-Cell Lung",31243821
HNF1A-AS1,neuroendocrine carcinoma,34037532
HNF1A-AS1,Colorectal Neoplasms,36230970
Hmrhl,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",34734184
HMMR-AS1,Adenocarcinoma of Lung,31128573
HIT000218960,Stomach Neoplasms,31186705
HMGN2P17,Prostatic Neoplasms,33219721
HMGA1-lnc,"Carcinoma, Non-Small-Cell Lung",33505435
HLNC1,"Carcinoma, Hepatocellular",32691951
HLA-F-AS1,Colorectal Neoplasms,31863778
HLA-F-AS1,Ovarian Neoplasms,35276697
HLA-F-AS1,Glioblastoma,34934358
HLA-F-AS1,Triple Negative Breast Neoplasms,33618253
HIVEP2-DT,Osteoarthritis,35609127
HOXD-AS2,Stomach Neoplasms,33250958
ELFN1-AS1,Colorectal Neoplasms,35857351
LCIIAR,Adenocarcinoma of Lung,35860557
LCAT1,Lung Neoplasms,31779616
LCAL1,Lung Neoplasms,30741368
LBX2‑AS1,Colorectal Neoplasms,34080639
LBX2-AS1,Stomach Neoplasms,33061849
LBX2-AS1,"Carcinoma, Non-Small-Cell Lung",31539129
LBX2-AS1,Esophageal Squamous Cell Carcinoma,30824187
LBX2-AS1,Colonic Neoplasms,35816228
LBX2-AS1,Ovarian Neoplasms,33342041
LBX2-AS1,Ovarian Neoplasms,33099720
LBX2-AS1,Glioma,33637977
LBX2-AS1,Thyroid Neoplasms,34858481
LBX2-AS1,Multiple Myeloma,34552959
LATS2-AS1-001,Stomach Neoplasms,32514249
LASTR,Lung Neoplasms,35281858
LARRPM,Adenocarcinoma of Lung,36221069
LCAT3,Lung Neoplasms,34274028
LDC1P,Stomach Neoplasms,31460694
LAMC2-1:1,Colonic Neoplasms,36582685
LDLRAD4-AS1,Colorectal Neoplasms,32111819
LEMD1-AS1,Osteoarthritis,35686740
LEMD1-AS1,Squamous Cell Carcinoma of Head and Neck,35983249
LEISA,Adenocarcinoma of Lung,33859372
LEF-AS1,Colorectal Neoplasms,31773695
LEF1-AS1,Stomach Neoplasms,35563178
LEF1-AS1,Colorectal Neoplasms,32248974
LEF1-AS1,Colorectal Neoplasms,34021424
LEF1-AS1,Colonic Neoplasms,32308428
LEF1-AS1,"Carcinoma, Hepatocellular",32068261
LEF1-AS1,Ovarian Neoplasms,32099465
LEF1-AS1,Squamous Cell Carcinoma of Head and Neck,30983488
LEF1-AS1,Glioma,32826866
LEF1-AS1,"Carcinoma, Non-Small-Cell Lung",31386568
LEF1-AS1,Retinoblastoma,31990064
LEF1-AS1,"Leukemia, Myeloid, Acute",30770626
LEF1-AS1,Squamous Cell Carcinoma of Head and Neck,35371339
LEF1-AS1,Prostatic Neoplasms,33292271
LEF1-AS1,"Carcinoma, Non-Small-Cell Lung",32547220
LEF1-AS1,Spinal Cord Injuries,33407665
LAMTOR5-AS1,Uterine Cervical Neoplasms,36173004
LALTOP,"Carcinoma, Non-Small-Cell Lung",34438347
KCNQ1OT1,"Carcinoma, Hepatocellular",32753631
KILH,"Carcinoma, Hepatocellular",33767587
KDM7A-DT,Stomach Neoplasms,33245963
KDM7A-DT,"Carcinoma, Non-Small-Cell Lung",31739208
KDM4A-AS1,"Carcinoma, Hepatocellular",34903711
KDM1A,Glioblastoma,34246782
KCNQ1OT1,Stomach Neoplasms,31915311
KCNQ1OT1,Stomach Neoplasms,33682985
KCNQ1OT1,Breast Neoplasms,32379482
KCNQ1OT1,Breast Neoplasms,34993814
KCNQ1OT1,"Carcinoma, Non-Small-Cell Lung",32377169
KCNQ1OT1,Colorectal Neoplasms,30794031
KCNQ1OT1,Colorectal Neoplasms,32760218
KCNQ1OT1,Colorectal Neoplasms,32565985
KCNQ1OT1,Colorectal Neoplasms,32564010
KCNQ1OT1,Colorectal Neoplasms,34350172
KCNQ1OT1,Colorectal Neoplasms,33994860
KCNQ1OT1,Colorectal Neoplasms,33394291
KCNQ1OT1,Colonic Neoplasms,31040703
KCNQ1OT1,Osteoarthritis,34108052
KIF9-AS1,"Carcinoma, Hepatocellular",36276278
KIZ,"Carcinoma, Renal Cell",33000253
LALR1,"Carcinoma, Hepatocellular",32160589
KLF3-AS1,Osteosarcoma,36250223
LA16c?313D11.11,Endometrial Neoplasms,32319598
KTN1-AS1,"Carcinoma, Non-Small-Cell Lung",32820252
KTN1-AS1,"Carcinoma, Non-Small-Cell Lung",32396871
KTN1-AS1,Esophageal Squamous Cell Carcinoma,36418920
KTN1-AS1,"Carcinoma, Hepatocellular",30551364
KTN1-AS1,Ovarian Neoplasms,35722429
KTN1-AS1,Urinary Bladder Neoplasms,33480975
KTN1-AS1,Glioma,33125151
KTN1-AS1,Pancreatic Neoplasms,34461605
KTN1-AS1,"Carcinoma, Non-Small-Cell Lung",35381130
KTN1-AS1,Burkitt Lymphoma,35866590
KRT19P3,Stomach Neoplasms,31409899
KRT19P3,Breast Neoplasms,35059320
KRT16P3,tongue squamous cell carcinoma,33220105
KRT16P2,Squamous Cell Carcinoma of Head and Neck,32655821
KLHDC7B-DT,Chlorophyll A,33538300
KLF3-AS1,Stomach Neoplasms,34745937
KLF3-AS1,Esophageal Squamous Cell Carcinoma,32193151
KLF3-AS1,Osteoarthritis,34964696
LENGA,Stomach Neoplasms,36477655
LENOX,Melanoma,36214632
LET,"Carcinoma, Renal Cell",31768131
LINC00261,Prostatic Neoplasms,33793068
LINC00243,"Carcinoma, Non-Small-Cell Lung",31595421
LINC00242,Stomach Neoplasms,32587479
LINC00240,Stomach Neoplasms,32526811
LINC00240,Stomach Neoplasms,34842045
LINC00240,"Carcinoma, Non-Small-Cell Lung",33422052
LINC00239,Esophageal Squamous Cell Carcinoma,34016746
LINC00210,"Carcinoma, Non-Small-Cell Lung",32266029
LINC00210,Glioma,33110451
LINC00210,Nasopharyngeal carcinoma,30341249
LINC00210,Thyroid Neoplasms,31240707
LINC00205,Stomach Neoplasms,35013132
LINC00205,Lung Neoplasms,32808651
LINC00205,"Carcinoma, Hepatocellular",34730201
LINC00205,Adenocarcinoma of Lung,34270733
LINC00205,Hepatoblastoma,35179516
LINC00200,Stomach Neoplasms,33141390
LINC00184,Cholangiocarcinoma,33913242
LINC00174,Colorectal Neoplasms,34226413
LINC00244,"Carcinoma, Hepatocellular",35266439
LINC00261,Acute Kidney Injury,33481135
LET,Esophageal Squamous Cell Carcinoma,29126868
LINC00261,Cardiomyocyte Hypoxia/Reoxygenation Injury,32558131
LINC00265,Precursor Cell Lymphoblastic Leukemia-Lymphoma,34737643
LINC00261,Breast Neoplasms,33274565
LINC00261,Lung Neoplasms,32607060
LINC00261,Colonic Neoplasms,31183860
LINC00261,"Carcinoma, Hepatocellular",35123494
LINC00261,Endometrial Neoplasms,30019459
LINC00261,Thyroid Neoplasms,34982424
LINC00261,Pancreatic Neoplasms,30210701
LINC00261,Pancreatic Neoplasms,33122827
LINC00261,Pancreatic Neoplasms,32929371
LINC00261,Pancreatic Neoplasms,32590069
LINC00261,Pancreatic Neoplasms,32020223
LINC00261,Pancreatic Neoplasms,34541823
LINC00261,Pancreatic Neoplasms,34446696
LINC00261,"Carcinoma, Non-Small-Cell Lung",31190356
LINC00261,"Carcinoma, Non-Small-Cell Lung",31115010
LINC00261,Cholangiocarcinoma,31812439
LINC00261,Myocardial Infarction,34239606
LINC00261,Endometriosis,31105834
LINC00174,"Carcinoma, Hepatocellular",32128852
LINC00174,Osteosarcoma,34222341
LINC00174,Glioma,31492194
LINC00174,Colorectal Neoplasms,29729381
LIFR-AS1,"Carcinoma, Non-Small-Cell Lung",32489316
LIFR-AS1,Colorectal Neoplasms,36316703
LIFR-AS1,Osteosarcoma,33794884
LIFR-AS1,"Thyroid Cancer, Papillary",34781815
LIFR-AS1,Pancreatic Neoplasms,34658294
LIFR-AS1,stomach carcinoma,33355363
LIFR-AS1,Thyroid Neoplasms,33927978
LIFR-AS1,Ovarian Neoplasms,35778954
LIF-AS1,Uterine Cervical Neoplasms,31085454
LICN00520,Melanoma,32466797
LICN00518,Melanoma,31712557
LHFPL3-AS2,"Carcinoma, Non-Small-Cell Lung",35101541
LHFPL3-AS1,Squamous Cell Carcinoma of Head and Neck,33833527
LHFPL3-AS1,Melanoma,32753471
LHFPL3,Nasopharyngeal carcinoma,35176945
LGALS8-AS1,Breast Neoplasms,34745940
LETR1,pancreatic ductal adenocarcinoma,31027497
LET,Breast Neoplasms,30280783
LIFR-AS1,Breast Neoplasms,31127025
LIFR-AS1,Stomach Neoplasms,33407453
LIMD1-AS1,"Carcinoma, Non-Small-Cell Lung",32239804
LINC00173.v1,lung squamous cell carcinoma,32473645
LINC00173,Triple Negative Breast Neoplasms,32058222
LINC00173,Glioma,32848473
LINC00173,Prostatic Neoplasms,33015770
LINC00165,Stomach Neoplasms,30448060
LINC00161,"Carcinoma, Hepatocellular",33414518
LINC00160,Prostatic Neoplasms,35067783
LINC00115,Lung Neoplasms,34643030
LIN28B-AS1,Adenocarcinoma of Lung,30353165
LINC00115,Colorectal Neoplasms,33193658
LINC00115,Prostatic Neoplasms,34697900
LINC00114,Colorectal Neoplasms,31921641
LINC00052,Breast Neoplasms,33777194
LINC00052,Breast Neoplasms,35918619
LINC00052,Glioma,35116894
LINC00052,Glioma,31210314
LINC000466,Triple Negative Breast Neoplasms,35216934
KCNQ1OT1,"Carcinoma, Hepatocellular",33349156
HSD11B1-AS1,skin melanoma,34992686
ILF3-DT,Colonic Neoplasms,33737811
IL21-AS1,"Lupus Erythematosus, Systemic",34895341
IL1R1-AS1,Squamous Cell Carcinoma of Head and Neck,31759044
IL1R1-AS1,Squamous Cell Carcinoma of Head and Neck,33311454
IL-17RA-1,Sepsis,36274974
IKBKBAS,Adenocarcinoma of Lung,34702815
IGKJ2-MALLP2,Squamous Cell Carcinoma of Head and Neck,32639636
IGHA1,Multiple Myeloma,35280429
IGFL2-AS1,Stomach Neoplasms,31943339
IGFL2-AS1,Colorectal Neoplasms,36537608
IGFL2-AS1,Colonic Neoplasms,34377016
IGFL2-AS1,"Carcinoma, Hepatocellular",32956593
IGFL2-AS1,tongue squamous cell carcinoma,34085359
IGFBP4-1,Urinary Bladder Neoplasms,32760196
IGF2BP2-AS1,Squamous Cell Carcinoma of Head and Neck,34637162
IGF2-AS,Stomach Neoplasms,34321174
IGF2-AS,Breast Neoplasms,33175607
IGF2-AS,"Carcinoma, Hepatocellular",34516353
IL6-AS1,"Pulmonary Disease, Chronic Obstructive",34323408
ILF3-DT,Retinoblastoma,32407730
IGF2-AS,gastric adenocarcinoma,31183590
ILF3-DT,Nasopharyngeal carcinoma,32962500
IQANK1,Esophageal Squamous Cell Carcinoma,33154766
IQANK1,"Carcinoma, Hepatocellular",31599410
IQANK1,Ovarian Neoplasms,31210291
IQANK1,Ovarian Neoplasms,30831080
IQANK1,Urinary Bladder Neoplasms,30537032
IQANK1,Urinary Bladder Neoplasms,33289601
IQANK1,pancreatic ductal adenocarcinoma,36171592
IQANK1,Uterine Cervical Neoplasms,30842470
IQANK1,Triple Negative Breast Neoplasms,32074085
IQANK1,Prostatic Neoplasms,33614501
IPW,"Carcinoma, Ductal",35078502
INHBA-AS1,Colorectal Neoplasms,33090398
ILF3-DT,Breast Neoplasms,33525948
ILF3-DT,Colorectal Neoplasms,34141456
ILF3-DT,"Carcinoma, Hepatocellular",34491544
ILF3-DT,"Carcinoma, Hepatocellular",34053876
ILF3-DT,Osteosarcoma,30819403
ILF3-DT,Uterine Cervical Neoplasms,34080029
IGF2-AS,Prostatic Neoplasms,30423304
IGF2-AS,Endometriosis,36508036
KCNQ1OT1,"Carcinoma, Hepatocellular",29532864
HULC,Colonic Neoplasms,30551459
HULC,"Carcinoma, Hepatocellular",33209874
HULC,"Carcinoma, Hepatocellular",35615577
HULC,Squamous Cell Carcinoma of Head and Neck,30677230
HULC,Osteosarcoma,32188407
HULC,Osteosarcoma,36213832
HULC,Uterine Cervical Neoplasms,32103980
HULC,Glioma,35013529
HULC,Glioblastoma,32606802
HULC,"Thyroid Cancer, Papillary",31878795
HULC,Pancreatic Neoplasms,31857775
HULC,Pancreatic Neoplasms,32656089
HULC,Bone Neoplasms,30120220
HULC,ovarian carcinoma,32046413
HULC,Liver Neoplasms,31558873
