PMID,miRNA,disease
34984723,hsa-mir-218,ankylosing spondylitis 1
34254279,hsa-mir-218,cervical squamous cell carcinoma
31139863,hsa-mir-34a,non-alcoholic steatohepatitis
31002154,hsa-mir-34a,"Myocardial Infarction, Acute"
32547080,hsa-mir-181c,cervical squamous cell carcinoma
30672444,hsa-mir-338,salivary gland adenoid cystic carcinoma
33661995,hsa-mir-340,pancreatic adenocarcinoma
34697393,hsa-mir-181a,lung squamous cell carcinoma
32052645,hsa-mir-22,hyper IgE recurrent infection syndrome 2
34081624,hsa-mir-22,"Myocardial Infarction, Acute"
32691705,hsa-mir-22,lung squamous cell carcinoma
36575320,hsa-mir-29a,lacrimal gland adenoid cystic carcinoma
35453643,hsa-mir-223,ankylosing spondylitis 1
32630692,hsa-mir-135b,psoriasis 1
33506742,hsa-mir-204,pancreatic adenocarcinoma
33898446,hsa-mir-143,bladder carcinoma
33572976,hsa-mir-143,ovarian carcinoma
33208053,hsa-mir-15b,late onset Parkinson's disease
31518563,hsa-mir-181b,psoriasis 1
32111564,hsa-mir-181b,familial temporal lobe epilepsy 3
36335706,hsa-mir-375,salivary gland adenoid cystic carcinoma
36335706,hsa-mir-20a,salivary gland adenoid cystic carcinoma
35453643,hsa-mir-92b,ankylosing spondylitis 1
36133483,hsa-mir-24,"Myocardial Infarction, Acute"
33139574,hsa-mir-409,Charcot-Marie-Tooth disease type 1B
32073141,hsa-mir-210,nonpapillary renal cell carcinoma
34295265,hsa-mir-210,"spondyloepimetaphyseal dysplasia, Strudwick type"
36335706,hsa-mir-140,salivary gland adenoid cystic carcinoma
35248684,hsa-mir-140,"Cognitive Impairment, Vascular"
34184135,hsa-mir-582,FG syndrome
35049152,hsa-mir-137,late onset Parkinson's disease
31884798,hsa-mir-429,hereditary diffuse gastric cancer
31884798,hsa-mir-429,nonpapillary renal cell carcinoma
30569090,hsa-mir-15a,"arthrogryposis, renal dysfunction, and cholestasis 1"
34339707,hsa-mir-15a,"Myocardial Infarction, Acute"
35899199,hsa-mir-15a,pancreatic adenocarcinoma
33325083,hsa-mir-30,late onset Parkinson's disease
34816790,hsa-mir-101,cervical squamous cell carcinoma
36335706,hsa-mir-101,salivary gland adenoid cystic carcinoma
35109802,hsa-mir-138,autosomal recessive congenital bilateral absence of vas deferens
33995660,hsa-mir-138,"Myocardial Infarction, Acute"
31059033,hsa-mir-1,lung squamous cell carcinoma
30981984,hsa-mir-145,osteogenesis imperfecta type 1
36322830,hsa-mir-372,hereditary diffuse gastric cancer
33603475,hsa-mir-194,cervical squamous cell carcinoma
36876834,hsa-mir-29c,esophageal carcinoma
33200343,hsa-mir-133a,gastric cardia adenocarcinoma
32196616,hsa-mir-26a,"Myocardial Infarction, Acute"
34236821,hsa-mir-128,nonobstructive coronary artery disease
36515797,hsa-mir-671,late onset Parkinson's disease
32582694,hsa-mir-671,pancreatic adenocarcinoma
31432140,hsa-mir-130a,ankylosing spondylitis 1
36335706,hsa-mir-130a,salivary gland adenoid cystic carcinoma
31548493,hsa-mir-326,hereditary diffuse gastric cancer
32766125,hsa-mir-326,cervical squamous cell carcinoma
31085161,hsa-mir-193a,hereditary fructose intolerance syndrome
32632040,hsa-mir-146b,high grade glioma
35008442,hsa-mir-216a,nonpapillary renal cell carcinoma
34468015,hsa-mir-32,pancreatic adenocarcinoma
36335706,hsa-mir-103a,salivary gland adenoid cystic carcinoma
35121558,hsa-mir-183,X-linked juvenile retinoschisis 1
30485500,hsa-mir-495,pancreatic adenocarcinoma
34992498,hsa-mir-766,psoriasis 1
36914604,hsa-mir-31,acute myocardial infarction
31262291,hsa-mir-374a,isolated cleft palate
34697393,hsa-mir-382,lung squamous cell carcinoma
31585570,hsa-mir-378,hereditary diffuse gastric cancer
33187014,hsa-mir-101a,Temporomandibular Joint Osteoarthritis
32431548,hsa-mir-184,gastric adenocarcinoma
30951965,hsa-mir-134,Thoracic Aortic   Dissection
33660796,hsa-mir-873,pancreatic adenocarcinoma
31726370,hsa-mir-873,stomach carcinoma
32218690,hsa-mir-421,gastric adenocarcinoma
31115005,hsa-mir-421,esophagus adenocarcinoma
33255413,hsa-mir-451a,esophagus adenocarcinoma
30813343,hsa-mir-451a,lung squamous cell carcinoma
34386427,hsa-mir-23a,prostate carcinoma
32218690,hsa-mir-29b-1,gastric adenocarcinoma
36808502,hsa-mir-499,familial febrile seizures 1
32397798,hsa-mir-619,gastric adenocarcinoma
31262291,hsa-mir-133b,isolated cleft palate
32346424,hsa-mir-454,stomach carcinoma
32513149,hsa-mir-299,lung squamous cell carcinoma
34977002,hsa-mir-1179,ankylosing spondylitis 1
34790777,hsa-mir-181d,ureteropelvic junction obstruction
30664260,hsa-mir-744,psoriasis 1
31774554,hsa-mir-3175,congenital myopathy 1A
33069733,hsa-mir-1277,late onset Parkinson's disease
34988211,hsa-mir-648,esophagus adenocarcinoma
31257621,hsa-mir-156,cone-rod dystrophy 6
34355838,hsa-mir-577,"Myocardial Infarction, Acute"
32871353,hsa-mir-562,psoriasis 1
31262291,hsa-mir-4680,isolated cleft palate
36604379,hsa-mir-8881,Charcot-Marie-Tooth disease type 1B
34474269,hsa-mir-71,Charcot-Marie-Tooth disease type 3
34474269,hsa-mir-750-1,Charcot-Marie-Tooth disease type 3
34459454,hsa-mir-194,psoriasis 1
32599739,hsa-mir-5572,sporatic amyotrophic lateral sclerosis
31026342,hsa-mir-200b,Squamous Cell Carcinoma of Head and Neck
33692838,hsa-mir-200b,Osteoarthritis
30771618,hsa-mir-200b,Syphilis
32585626,hsa-mir-200b,Breast Neoplasms
36418889,hsa-mir-200b,Ataxia Neuropathy Spectrum
34482528,hsa-mir-200b,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
36806318,hsa-mir-200b,"Carcinoma, Non-Small-Cell Lung"
36674797,hsa-mir-200b,Heart Failure
36499626,hsa-mir-200b,Ovarian Neoplasms
36411681,hsa-mir-200b,Liver Neoplasms
35864549,hsa-mir-200b,Adenocarcinoma of Lung
34717732,hsa-mir-200b,Breast Neoplasms
33728753,hsa-mir-200b,Breast Neoplasms
33090389,hsa-mir-200b,Ovarian Neoplasms
32996747,hsa-mir-200b,Esophageal Squamous Cell Carcinoma
32683077,hsa-mir-200b,Prostatic Neoplasms
32157211,hsa-mir-200b,Thyroid Neoplasms
31526439,hsa-mir-200b,Breast Neoplasms
31383782,hsa-mir-200b,"Enterocolitis, Necrotizing"
31130475,hsa-mir-200b,"Carcinoma, Renal Cell"
31111526,hsa-mir-200b,Prostatic Neoplasms
35071928,hsa-mir-200b,Prostatic Neoplasms
34079820,hsa-mir-200b,Esophageal Diseases
33822671,hsa-mir-200b,Diabetic Retinopathy
32070140,hsa-mir-200b,Pulmonary Emphysema
36447214,hsa-mir-200b,Stomach Neoplasms
35226830,hsa-mir-200b,Stomach Neoplasms
34018840,hsa-mir-200b,Liver Neoplasms
32802844,hsa-mir-200b,Endometriosis
34629748,hsa-mir-200b,Inflammatory Bowel Diseases
31216648,hsa-mir-200b,Endometrial Neoplasms
36944544,hsa-mir-200b,Retinoblastoma
34531912,hsa-mir-200b,Stomach Neoplasms
33173345,hsa-mir-200b,"Carcinoma, Hepatocellular"
32377191,hsa-mir-200b,Ovarian Neoplasms
36032725,hsa-mir-21,Lung Neoplasms
30657727,hsa-mir-21,Kidney Diseases
34681754,hsa-mir-21,Cartilage Diseases
34927513,hsa-mir-21,Inflammation
35322738,hsa-mir-21,Inflammation
30680008,hsa-mir-21,Hypoxia
34617873,hsa-mir-21,Hypoxia
36342850,hsa-mir-21,Triple Negative Breast Neoplasms
36083475,hsa-mir-21,"Ehlers-Danlos Syndrome, musculocontractural type 1"
31204163,hsa-mir-21,Fibrosis
31184708,hsa-mir-21,Fibrosis
35756803,hsa-mir-21,Fibrosis
36039591,hsa-mir-21,Reperfusion Injury
31862399,hsa-mir-21,Hyperglycemia
35119849,hsa-mir-21,Central Nervous System Diseases
34191497,hsa-mir-21,Esophageal Squamous Cell Carcinoma
32380108,hsa-mir-21,Liver Neoplasms
33906109,hsa-mir-21,Drug Hypersensitivity
33112219,hsa-mir-21,"Carcinoma, Squamous Cell"
31429853,hsa-mir-21,Leukemia
33112219,hsa-mir-21,Immune System Diseases
31837588,hsa-mir-21,Pulpitis
31745609,hsa-mir-21,Adenocarcinoma
31825987,hsa-mir-21,De Lange Syndrome
33632070,hsa-mir-21,Cardiomegaly
33151961,hsa-mir-21,Necrosis
32747423,hsa-mir-21,"Adenoma, Islet Cell"
30988756,hsa-mir-21,Osteochondritis Dissecans
30465046,hsa-mir-21,Herpes Simplex
34611295,hsa-mir-21,Fetal Growth Retardation
33112219,hsa-mir-21,Lymphoproliferative Disorders
31217870,hsa-mir-21,Brain Injuries
33112219,hsa-mir-21,Aspergillosis
34611295,hsa-mir-21,SHORT syndrome
32888967,hsa-mir-21,"Ophthalmoplegia, Chronic Progressive External"
32871166,hsa-mir-21,Hyphema
36768775,hsa-mir-21,Endometriosis
36624948,hsa-mir-21,"Carcinoma, Renal Cell"
36380665,hsa-mir-21,Colorectal Neoplasms
36344947,hsa-mir-21,Uterine Cervical Neoplasms
36303271,hsa-mir-21,Nasopharyngitis
36244909,hsa-mir-21,Acute Kidney Injury
36105448,hsa-mir-21,Uterine Cervical Neoplasms
36096386,hsa-mir-21,Glioma
36082081,hsa-mir-21,"Reperfusion Injury, Renal Ischemia"
36035369,hsa-mir-21,"Carcinoma, Renal Cell"
35504804,hsa-mir-21,Crohn Disease
35504804,hsa-mir-21,Intestinal Diseases
35477946,hsa-mir-21,"Diabetes Mellitus, Type 2"
35405317,hsa-mir-21,Neuroblastoma
35398468,hsa-mir-21,Prostatic Neoplasms
35137654,hsa-mir-21,"Neuroma, Acoustic"
35068324,hsa-mir-21,Keloid
35059460,hsa-mir-21,Breast Neoplasms
35018772,hsa-mir-21,Lung Neoplasms
34967592,hsa-mir-21,Nasopharyngeal Carcinoma
34957910,hsa-mir-21,Atrial Fibrillation
34887360,hsa-mir-21,Atherosclerosis
34882869,hsa-mir-21,Colorectal Neoplasms
34870494,hsa-mir-21,"Carcinoma, Renal Cell"
34751282,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
34708894,hsa-mir-21,"Arthritis, Rheumatoid"
34699621,hsa-mir-21,"Carcinoma, Renal Cell"
34607195,hsa-mir-21,Ischemic Stroke
34516355,hsa-mir-21,Polycystic Ovary Syndrome
34506963,hsa-mir-21,"Hemangioma, Infantile"
34473845,hsa-mir-21,"Rhinitis, Allergic"
34468912,hsa-mir-21,Colorectal Neoplasms
34182945,hsa-mir-21,Triple Negative Breast Neoplasms
34164910,hsa-mir-21,Pulmonary Fibrosis
34043929,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
33990639,hsa-mir-21,Uterine Cervical Neoplasms
33894272,hsa-mir-21,Ovarian Neoplasms
33728802,hsa-mir-21,"Lupus Erythematosus, Systemic"
33662666,hsa-mir-21,"Scleroderma, Systemic"
33598946,hsa-mir-21,Prostatic Neoplasms
33537096,hsa-mir-21,"Lymphoma, B-Cell"
33530155,hsa-mir-21,"Rhinitis, Allergic"
33467964,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
33379103,hsa-mir-21,Breast Neoplasms
33085646,hsa-mir-21,Glioma
32632096,hsa-mir-21,Multiple Myeloma
32329653,hsa-mir-21,"Reperfusion Injury, Renal Ischemia"
32301289,hsa-mir-21,Atherosclerosis
32271438,hsa-mir-21,Glioma
32216491,hsa-mir-21,Keloid
32108968,hsa-mir-21,"Heart Failure, Diastolic"
32108968,hsa-mir-21,Obesity
32072402,hsa-mir-21,Aortic Dissection
32069387,hsa-mir-21,Urinary Bladder Neoplasms
31948396,hsa-mir-21,"Cholangitis, Biliary, Primary"
31948396,hsa-mir-21,Liver Cirrhosis
31863364,hsa-mir-21,"Glomerulonephritis, IGA"
31837336,hsa-mir-21,Ovarian Neoplasms
31789394,hsa-mir-21,"Carcinoma, Renal Cell"
31756546,hsa-mir-21,Colorectal Neoplasms
31722341,hsa-mir-21,Stomach Neoplasms
31638173,hsa-mir-21,Non-alcoholic Fatty Liver Disease
31621912,hsa-mir-21,Breast Neoplasms
31554487,hsa-mir-21,"Carcinoma, Hepatocellular"
31506038,hsa-mir-21,Lung Neoplasms
31500623,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
31413212,hsa-mir-21,"Carcinoma, Pancreatic Ductal"
31400934,hsa-mir-21,Pancreatic Carcinoma
31389582,hsa-mir-21,"Fibrosis, Renal"
31257538,hsa-mir-21,Melanoma
31243990,hsa-mir-21,Squamous Cell Carcinoma of Head and Neck
31210327,hsa-mir-21,Hypertension
31070482,hsa-mir-21,Osteosarcoma
30824757,hsa-mir-21,"Carcinoma, Renal Cell"
30824757,hsa-mir-21,Uremia
30811964,hsa-mir-21,Colorectal Neoplasms
30700111,hsa-mir-21,Stomach Neoplasms
30692507,hsa-mir-21,"Muscular Dystrophy, Duchenne"
30556872,hsa-mir-21,Squamous Cell Carcinoma of Head and Neck
30530166,hsa-mir-21,Inflammatory Bowel Diseases
30518628,hsa-mir-21,Prostatic Neoplasms
30483740,hsa-mir-21,Atrial Fibrillation
30467776,hsa-mir-21,Squamous Cell Carcinoma of Head and Neck
36155181,hsa-mir-21,Pulmonary Fibrosis
35835978,hsa-mir-21,Glioblastoma
35812178,hsa-mir-21,Pancreatic Carcinoma
35807865,hsa-mir-21,Colitis
35781592,hsa-mir-21,Cognition Disorders
35781592,hsa-mir-21,"Diabetes Mellitus, Type 2"
35573679,hsa-mir-21,"Reperfusion Injury, Renal Ischemia"
35222033,hsa-mir-21,Diabetic Nephropathies
35222033,hsa-mir-21,Lipid Metabolism Disorders
35136398,hsa-mir-21,Myocardial Reperfusion Injury
35083006,hsa-mir-21,Breast Neoplasms
35071928,hsa-mir-21,Prostatic Neoplasms
35064305,hsa-mir-21,Cardiomyopathies
35061559,hsa-mir-21,Fatty Liver
34771727,hsa-mir-21,Colorectal Neoplasms
34771727,hsa-mir-21,Colitis-Associated Neoplasms
34724669,hsa-mir-21,"Nephritis, Interstitial"
34651285,hsa-mir-21,Fatty Liver
34641738,hsa-mir-21,Diabetic Nephropathies
34580912,hsa-mir-21,Brain Ischemia
34132355,hsa-mir-21,Spinal Cord Injuries
34087084,hsa-mir-21,Diabetic Nephropathies
33955458,hsa-mir-21,Pulmonary Fibrosis
33815116,hsa-mir-21,"Diabetes Mellitus, Type 2"
33815116,hsa-mir-21,Cardiomyopathies
33730297,hsa-mir-21,Pulmonary Embolism
33730297,hsa-mir-21,Lung Injury
33641444,hsa-mir-21,Submandibular Gland Diseases
33641444,hsa-mir-21,Vascular Diseases
33456536,hsa-mir-21,Liver Cirrhosis
33433751,hsa-mir-21,Acute Kidney Injury
33310519,hsa-mir-21,Liver Cirrhosis
33251119,hsa-mir-21,Glioma
33238792,hsa-mir-21,Lung Injury
32957587,hsa-mir-21,Neuroendocrine Tumors
32913463,hsa-mir-21,Cholangiocarcinoma
32912827,hsa-mir-21,"Fibrosis, Renal"
32782712,hsa-mir-21,Intracranial Aneurysm
32720795,hsa-mir-21,Spinal Cord Injuries
32373367,hsa-mir-21,Breast Neoplasms
32355747,hsa-mir-21,Acute Kidney Injury
32306124,hsa-mir-21,"Hypoxia-Ischemia, Brain"
32269615,hsa-mir-21,Prostatic Neoplasms
32016994,hsa-mir-21,"Aortic Aneurysm, Thoracic"
31949811,hsa-mir-21,"Carcinoma, Hepatocellular"
31933901,hsa-mir-21,Brain Injuries
31933888,hsa-mir-21,Colonic Neoplasms
31889789,hsa-mir-21,"Carcinoma, Ovarian Epithelial"
31749335,hsa-mir-21,Atrial Fibrillation
31686458,hsa-mir-21,"Hypoxia-Ischemia, Brain"
30720148,hsa-mir-21,Spinal Cord Injuries
30774397,hsa-mir-21,Diabetic Foot
31949668,hsa-mir-21,Stomach Neoplasms
35699307,hsa-mir-21,"Carcinoma, Pancreatic Ductal"
35253605,hsa-mir-21,Pancreatic Carcinoma
34979378,hsa-mir-21,Lung Neoplasms
34905503,hsa-mir-21,Osteosarcoma
34889164,hsa-mir-21,Breast Neoplasms
34254453,hsa-mir-21,Lung Neoplasms
34132637,hsa-mir-21,Gynatresia
33495842,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
33394312,hsa-mir-21,Heart Failure
33394312,hsa-mir-21,Pulmonary Arterial Hypertension
33332077,hsa-mir-21,"Reperfusion Injury, Pulmonary Ischemia"
32799221,hsa-mir-21,Colorectal Neoplasms
32468043,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
31176779,hsa-mir-21,Adenocarcinoma of Lung
30417784,hsa-mir-21,Breast Neoplasms
36506327,hsa-mir-21,Varicose Veins
36311369,hsa-mir-21,"Carcinoma, Renal Cell"
35985609,hsa-mir-21,Leukoencephalopathies
34858053,hsa-mir-21,Adenocarcinoma of Lung
33805203,hsa-mir-21,Alzheimer Disease
33733589,hsa-mir-21,Femur Head Necrosis
33594315,hsa-mir-21,Spinal Cord Injuries
33363013,hsa-mir-21,Squamous Cell Carcinoma of Head and Neck
32765094,hsa-mir-21,"Carcinoma, Hepatocellular"
32204466,hsa-mir-21,Osteoporosis
31878245,hsa-mir-21,Squamous Cell Carcinoma of Head and Neck
31610203,hsa-mir-21,Brain Ischemia
30655760,hsa-mir-21,"Carcinoma, Hepatocellular"
30568467,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
31410193,hsa-mir-21,Paraganglioma
31410193,hsa-mir-21,Pheochromocytoma
31223614,hsa-mir-21,Sepsis
36246560,hsa-mir-21,Respiratory Distress Syndrome
35235468,hsa-mir-21,Wounds and Injuries
36062165,hsa-mir-21,Colorectal Neoplasms
35542225,hsa-mir-21,"Carcinoma, Non-Small-Cell Lung"
35518787,hsa-mir-21,"Carcinoma, Hepatocellular"
34992681,hsa-mir-21,Stomach Neoplasms
34810290,hsa-mir-21,Stomach Neoplasms
34786052,hsa-mir-21,Colorectal Neoplasms
33469309,hsa-mir-21,Ovarian Neoplasms
32753949,hsa-mir-21,Glioblastoma
30563239,hsa-mir-155,Osteoarthritis
36538560,hsa-mir-155,Cartilage Diseases
30778287,hsa-mir-155,Inflammation
30720115,hsa-mir-155,Inflammation
35546848,hsa-mir-155,Breast Neoplasms
35885665,hsa-mir-155,Fibrosis
35833819,hsa-mir-155,Reperfusion Injury
34638868,hsa-mir-155,Cardiovascular Diseases
33936277,hsa-mir-155,Eosinophilic enteropathy
33841015,hsa-mir-155,Vascular Diseases
34914251,hsa-mir-155,"Hamartoma Syndrome, Multiple"
32292999,hsa-mir-155,Asthma
35404476,hsa-mir-155,Asthma
33151563,hsa-mir-155,Necrosis
34907898,hsa-mir-155,"Nephritis, Interstitial"
33259794,hsa-mir-155,Spinal muscular atrophy with respiratory distress 1
36623778,hsa-mir-155,Irritable Bowel Syndrome
31337984,hsa-mir-155,Sialic Acid Storage Disease
31337984,hsa-mir-155,Synucleinopathies
32979364,hsa-mir-155,Ventricular Premature Complexes
36228430,hsa-mir-155,Bursitis
35319228,hsa-mir-155,Bursitis
36228430,hsa-mir-155,Newcastle Disease
36228430,hsa-mir-155,Influenza in Birds
35319228,hsa-mir-155,Fused Teeth
35319228,hsa-mir-155,Bird Diseases
33985523,hsa-mir-155,Neurogenic Inflammation
33125461,hsa-mir-155,Neurogenic Inflammation
33125461,hsa-mir-155,Memory Disorders
33125052,hsa-mir-155,Thymus Neoplasms
32173634,hsa-mir-155,Brain Ischemia
30538705,hsa-mir-155,Encephalitis
32038504,hsa-mir-155,Lymphoproliferative Disorders
33841015,hsa-mir-155,"Aging, Premature"
36653745,hsa-mir-155,Retinal Diseases
34194560,hsa-mir-155,Sjogren's Syndrome
36408278,hsa-mir-155,Neurogenic Inflammation
36175700,hsa-mir-155,"Leukemia, Lymphocytic, Chronic, B-Cell"
36153499,hsa-mir-155,Pre-Eclampsia
36088911,hsa-mir-155,"Carcinoma, Hepatocellular"
35975534,hsa-mir-155,Thrombocytopenia
35885930,hsa-mir-155,COVID-19
35551487,hsa-mir-155,Inflammation
35438468,hsa-mir-155,"Carcinoma, Hepatocellular"
35408829,hsa-mir-155,Leukemia
35398468,hsa-mir-155,Prostatic Neoplasms
35020847,hsa-mir-155,Intervertebral Disc Degeneration
34981333,hsa-mir-155,Salivary Gland Neoplasms
34688330,hsa-mir-155,Uterine Cervical Neoplasms
34445350,hsa-mir-155,Cerebral Intraventricular Hemorrhage
34274194,hsa-mir-155,Oral Submucous Fibrosis
34091117,hsa-mir-155,"Encephalomyelitis, Autoimmune, Experimental"
33742606,hsa-mir-155,"Carcinoma, Renal Cell"
33596784,hsa-mir-155,Uterine Cervical Neoplasms
33506901,hsa-mir-155,"Carcinoma, Non-Small-Cell Lung"
33494773,hsa-mir-155,Breast Neoplasms
33296782,hsa-mir-155,Intestinal Diseases
33296782,hsa-mir-155,Inflammation
33296782,hsa-mir-155,Sepsis
33206628,hsa-mir-155,Heart Failure
33173017,hsa-mir-155,"Carcinoma, Hepatocellular"
33134385,hsa-mir-155,"Thyroid Cancer, Papillary"
33127171,hsa-mir-155,Cystic Fibrosis
33090390,hsa-mir-155,Uterine Cervical Neoplasms
32987149,hsa-mir-155,"Encephalitis, Japanese"
32908449,hsa-mir-155,"Arthritis, Rheumatoid"
32853020,hsa-mir-155,Liver Neoplasms
32702393,hsa-mir-155,"Lymphoma, Large B-Cell, Diffuse"
32323747,hsa-mir-155,Acute Kidney Injury
32293332,hsa-mir-155,Colonic Neoplasms
32243922,hsa-mir-155,Acute Kidney Injury
32112145,hsa-mir-155,Heart Diseases
31924781,hsa-mir-155,Atherosclerosis
31849465,hsa-mir-155,Urinary Bladder Neoplasms
31779271,hsa-mir-155,"Arthritis, Juvenile"
31599418,hsa-mir-155,Nasopharyngeal Carcinoma
31539126,hsa-mir-155,Nasopharyngeal Carcinoma
31378899,hsa-mir-155,"Thyroid Cancer, Papillary"
31045320,hsa-mir-155,"Influenza, Human"
30898623,hsa-mir-155,"Aortic Aneurysm, Abdominal"
30878390,hsa-mir-155,Breast Neoplasms
30864841,hsa-mir-155,Acute Kidney Injury
30745827,hsa-mir-155,"Carcinoma, Hepatocellular"
30621915,hsa-mir-155,Tuberculosis
30536304,hsa-mir-155,Osteosarcoma
30530166,hsa-mir-155,Inflammatory Bowel Diseases
36319097,hsa-mir-155,"Pulmonary Disease, Chronic Obstructive"
35998476,hsa-mir-155,Liver Injury
35832084,hsa-mir-155,Acute Kidney Injury
35715546,hsa-mir-155,Testicular Diseases
35542211,hsa-mir-155,Acute Kidney Injury
35011699,hsa-mir-155,Alzheimer Disease
34976303,hsa-mir-155,"Encephalomyelitis, Autoimmune, Experimental"
34900737,hsa-mir-155,"Carcinoma, Non-Small-Cell Lung"
34773846,hsa-mir-155,"Pulmonary Disease, Chronic Obstructive"
33946612,hsa-mir-155,Pulmonary Fibrosis
33877664,hsa-mir-155,Brain Ischemia
33798291,hsa-mir-155,"Arthritis, Rheumatoid"
33798291,hsa-mir-155,Synovitis
33708473,hsa-mir-155,Atherosclerosis
33524272,hsa-mir-155,Inflammatory Bowel Diseases
33503444,hsa-mir-155,Liver Cirrhosis
33503444,hsa-mir-155,Inflammation
33407761,hsa-mir-155,Heart Arrest
33082860,hsa-mir-155,Atherosclerosis
33081480,hsa-mir-155,Ischemic Stroke
33081480,hsa-mir-155,Neurogenic Inflammation
32781208,hsa-mir-155,Inflammation
32713852,hsa-mir-155,Colitis
32547733,hsa-mir-155,"Reperfusion Injury, Pulmonary Ischemia"
32412861,hsa-mir-155,Cerebral Hemorrhage
32411077,hsa-mir-155,Glioma
32377580,hsa-mir-155,"Plaque, Atherosclerotic"
32337959,hsa-mir-155,Neuralgia
32296644,hsa-mir-155,Neuralgia
32010301,hsa-mir-155,"Arthritis, Rheumatoid"
31949845,hsa-mir-155,Acute Lung Injury
31949845,hsa-mir-155,Sepsis
31949784,hsa-mir-155,"Carcinoma, Hepatocellular"
31858855,hsa-mir-155,Brain Ischemia
31807249,hsa-mir-155,Myocardial Reperfusion Injury
31756931,hsa-mir-155,"Carcinoma, Renal Cell"
31618139,hsa-mir-155,Cerebral Infarction
31486505,hsa-mir-155,Respiratory Distress Syndrome
31456514,hsa-mir-155,Parkinson Disease
31456514,hsa-mir-155,Alzheimer Disease
31289477,hsa-mir-155,"Leukemia, Lymphocytic, Chronic, B-Cell"
31191799,hsa-mir-155,Myocardial Infarction
30944299,hsa-mir-155,Pancreatitis
30794866,hsa-mir-155,Cardiomegaly
36706943,hsa-mir-155,"Arthritis, Rheumatoid"
36621784,hsa-mir-155,"Arthritis, Rheumatoid"
36240611,hsa-mir-155,Mucocutaneous Lymph Node Syndrome
36224588,hsa-mir-155,Colonic Neoplasms
35253975,hsa-mir-155,Retinoblastoma
34775495,hsa-mir-155,Precursor Cell Lymphoblastic Leukemia-Lymphoma
34192708,hsa-mir-155,"Carcinoma, Renal Cell"
33999777,hsa-mir-155,"Thyroid Carcinoma, Anaplastic"
33993032,hsa-mir-155,"Abortion, Habitual"
33719773,hsa-mir-155,Bronchopneumonia
33692340,hsa-mir-155,Atherosclerosis
33604641,hsa-mir-155,Prostatic Neoplasms
32237066,hsa-mir-155,Adenocarcinoma of Lung
30741544,hsa-mir-155,Colorectal Neoplasms
